0000812818,HUTTON INVESTORS FUTURES FUND L P II,NY
0001048922,IAC CAPITAL TRUST,CA
0000813831,IDS MANAGED FUTURES II L P,IL
0000809061,IDS MANAGED FUTURES L P,IL
0000932091,ILM I LEASE CORP,VA
0000932092,ILM II LEASE CORP,VA
0000861880,ILM II SENIOR LIVING INC /VA,VA
0000847414,ILM SENIOR LIVING INC /VA,VA
0001036615,IMPAC COMMERCIAL HOLDINGS INC,NY
0001000298,IMPAC MORTGAGE HOLDINGS INC,CA
0001683617,"Impact Housing REIT, LLC",CA
0001042824,IMPERIAL CREDIT COMMERCIAL MORTGAGE INVESTMENT CORP,CA
0000949961,INCOME OPPORTUNITY REALTY INVESTORS INC /TX/,TX
0000760730,INCOME OPPORTUNITY REALTY TRUST,TX
0001534521,"Independence Mortgage Trust, Inc.",PA
0001466085,"INDEPENDENCE REALTY TRUST, INC.",PA
0001717307,Industrial Logistics Properties Trust,MA
0001558441,INDUSTRIAL PROPERTY TRUST INC.,CO
0001506401,"InfraREIT, Inc.",TX
0001438897,"Inland Diversified Real Estate Trust, Inc.",IL
0001119187,INLAND PROPERTY MANGEMENT GROUP INC,IL
